index,word,type
2,москвы,address
2,москва,address
3,москве,address
4,краснодар,address
4,краснодару,address
4,россии,address
4,волгоград,address
4,майкоп,address
4,новороссийск,address
4,пятигорск,address
4,самара,address
4,саратов,address
4,севастополь,address
4,симферополь,address
4,сочи,address
4,ставрополь,address
4,таганрог,address
5,мск,address
5,россия,address
5,россии,address
5,ингушетия,address
5,украине,address
6,спб,address
6,санкт-петербург,address
6,санкт-петербургу,address
7,новокузнецке,address
7,кемерово,address
7,новосибирск,address
7,томск,address
7,красноярск,address
7,барнаул,address
7,абакан,address
7,россия,address
7,кемеровская,address
7,новокузнецк,address
8,россия,address
8,московская,address
8,красногорск,address
8,жуковского,address
8,россии,address
9,воронеже,address
9,россия,address
10,адыгея,address
11,майкопе,address
11,россии,address
12,воронеже,address
13,россии,address
13,адыгея,address
13,майкопе,address
13,россия,address
14,россии,address
14,адыгея,address
14,майкопе,address
14,россия,address
15,адыгея,address
15,россии,address
15,майкоп,address
15,россия,address
16,россии,address
16,астраханская,address
16,волгоградская,address
16,севастополь,address
16,краснодарский,address
16,адыгея,address
16,калмыкия,address
16,крым,address
16,ростовская,address
16,россия,address
16,тульской,address
16,нижегородской,address
16,владимир,address
16,ямало-ненецком,address
16,майкопе,address
16,смоленска,address
16,москва,address
16,москвы,address
17,адыгея,address
17,россии,address
17,владимир,address
17,иркутской,address
17,майкопе,address
18,адыгея,address
18,майкоп,address
19,адыгея,address
19,россии,address
19,владимир,address
19,иркутской,address
19,майкопе,address
22,москва,address
22,москвы,address
22,санкт-петербург,address
23,кемерово,address
24,краснодаре,address
24,краснодар,address
24,россии,address
24,майкопе,address
25,россии,address
26,улан-удэ,address
27,адыгея,address
27,ханты-мансийского,address
27,ямало-ненецкого,address
27,саратова,address
27,калининградской,address
27,тюмени,address
27,свердловской,address
27,россии,address
27,хабаровском,address
27,калининграде,address
27,майкоп,address
28,россии,address
29,екатеринбурге,address
30,майкопе,address
30,майкоп,address
31,россии,address
31,москве,address
34,адыгея,address
35,россии,address
35,москвы,address
35,москве,address
35,владимирской,address
35,брянской,address
35,жуковский,address
36,россия,address
36,украина,address
38,8000р,address
38,иванов,address
38,санкт-петербург,address
40,спб,address
40,санкт-петербург,address
43,волгоградской,address
43,находка,address
43,волгограде,address
45,москва,address
46,санкт-петербурга,address
46,санкт-петербург,address
46,россии,address
46,санкт-петербурге,address
46,санкт-петербургу,address
46,энгельса,address
46,спб,address
46,тулы,address
46,москву,address
46,россия,address
46,москва,address
47,каменск-уральский,address
48,санкт-петербурге,address
48,спб,address
48,санкт-петербурга,address
49,москвы,address
49,москва,address
50,москве,address
51,новосибирск,address
51,краснодару,address
51,россии,address
51,волгоград,address
51,краснодар,address
51,майкоп,address
51,новороссийск,address
51,пятигорск,address
51,самара,address
51,саратов,address
51,севастополь,address
51,симферополь,address
51,сочи,address
51,ставрополь,address
51,таганрог,address
52,мск,address
52,россия,address
52,россии,address
52,ингушетия,address
52,украине,address
54,спб,address
54,санкт-петербург,address
55,санкт-петербурге,address
55,иванов,address
55,россии,address
55,гатчина,address
56,тюмень,address
56,сургут,address
56,тобольск,address
56,екатеринбург,address
56,челябинск,address
56,курган,address
56,москва,address
56,санкт-петербург,address
56,омск,address
56,оренбург,address
56,самара,address
56,пермь,address
56,миасс,address
56,саратов,address
56,ижевск,address
56,казань,address
58,санкт-петербурге,address
59,спб,address
59,санкт-петербурга,address
59,москвы,address
59,санкт-петербург,address
59,москва,address
59,ковров,address
59,россия,address
59,хабаровск,address
61,санкт-петербурге,address
61,спб,address
61,санкт-петербурга,address
61,ленинградской,address
62,москве,address
62,россии,address
63,москве,address
63,россии,address
64,ставропольский,address
65,россии,address
66,адыгея,address
66,майкоп,address
67,воронеже,address
67,россия,address
68,московской,address
69,адыгея,address
70,красноярске,address
70,красноярск,address
70,красноярска,address
70,красноярску,address
70,россии,address
71,москве,address
71,мск,address
72,майкопе,address
72,россии,address
73,воронеже,address
74,россии,address
74,адыгея,address
75,россии,address
75,адыгея,address
76,адыгея,address
76,россии,address
76,майкоп,address
76,россия,address
77,россии,address
77,астраханская,address
77,волгоградская,address
77,севастополь,address
77,краснодарский,address
77,адыгея,address
77,калмыкия,address
77,крым,address
77,ростовская,address
77,россия,address
77,москвы,address
77,майкопе,address
78,адыгея,address
78,россии,address
78,владимир,address
78,владимиром,address
78,самарской,address
79,адыгея,address
79,майкоп,address
80,спб,address
80,москве,address
80,санкт-петербургу,address
80,россии,address
80,москва,address
80,санкт-петербург,address
80,россия,address
81,адыгея,address
81,россии,address
81,владимир,address
81,владимиром,address
81,самарской,address
84,оренбург,address
85,екатеринбург,address
85,каменск-уральский,address
85,россии,address
87,алтай,address
87,норильске,address
87,россии,address
87,омске,address
87,новгородской,address
87,владимиром,address
87,московской,address
87,волгоградской,address
87,хмао,address
87,сургут,address
87,москве,address
88,москве,address
88,россия,address
88,украина,address
89,8000р,address
89,иванов,address
89,санкт-петербург,address
91,спб,address
91,санкт-петербург,address
92,краснодаре,address
92,россии,address
95,россия,address
95,100000,address
95,москва,address
96,санкт-петербурга,address
96,санкт-петербург,address
96,россии,address
96,евпатории,address
96,санкт-петербурге,address
96,санкт-петербургу,address
96,энгельса,address
96,спб,address
96,тулы,address
96,москву,address
96,россия,address
96,москва,address
97,каменск-уральский,address
98,санкт-петербурге,address
98,спб,address
98,санкт-петербурга,address
