index,word,type
3,гуп,organization
4,свч,organization
5,ооо,organization
5,минсельхоз,organization
6,яндексе,organization
7,ооо,organization
9,полуботинки,organization
9,"лебедка,таль",organization
9,ботинки,organization
10,«смц,organization
10,ооо,organization
12,ооо,organization
13,мвд,organization
13,бмтивс,organization
13,мчс,organization
13,фсин,organization
13,уфсин,organization
14,мвд,organization
14,бмтивс,organization
14,мчс,organization
14,фсин,organization
14,уфсин,organization
15,минтруда,organization
15,росздравнадзора,organization
15,минтруд,organization
16,онлайн–сервисы,organization
16,мвд,organization
16,госавтоинспекции,organization
16,минтранс,organization
16,госавтоинспекция,organization
17,интерпола,organization
17,"""мвд",organization
17,мвд,organization
17,внии,organization
17,уфссп,organization
17,госавтоинспекции,organization
17,госсовета-хасэ,organization
17,уфсин,organization
18,роспотребнадзором,organization
18,роспотребнадзора,organization
19,интерпола,organization
19,"""мвд",organization
19,мвд,organization
19,внии,organization
19,уфссп,organization
19,госавтоинспекции,organization
19,госсовета-хасэ,organization
19,уфсин,organization
21,ооо,organization
22,караоке-бар,organization
22,караоке,organization
22,ооо,organization
23,яндекс,organization
23,ооо,organization
24,апр,organization
25,пожмонтажсервис,organization
25,ооо,organization
27,минюсте,organization
27,росздравнадзор,organization
27,росздравнадзора,organization
28,ооо,organization
29,ооо,organization
30,ооо,organization
31,нпо,organization
31,энергомаш,organization
31,яндекс,organization
31,мчс,organization
31,мкб,organization
32,ооо,organization
33,ввс,organization
34,изюминка,organization
35,мвд,organization
35,мчс,organization
35,еврокомиссии,organization
38,ооо,organization
40,яндекс,organization
40,новинки,organization
43,ооо,organization
45,новинка,organization
46,фнс,organization
46,яндекса,organization
46,яндекс,organization
46,ооо,organization
46,яндексу,organization
46,гаи,organization
46,роспотребнадзора,organization
46,мчс,organization
46,"""без",organization
46,яндексом,organization
46,«без,organization
47,ростехинфо,organization
47,скб,organization
47,фнс,organization
48,стоматологии,organization
48,стоматология,organization
50,гуп,organization
51,свч,organization
51,яндекс,organization
52,минсельхоз,organization
54,яндексе,organization
55,роспотребнадзоре,organization
56,новинки,organization
59,свч,organization
59,ооо,organization
59,гознак,organization
59,москва-хельсинки,organization
59,спб-хельсинки,organization
61,новинка,organization
61,автозапчасти,organization
61,вокзалы/аэропорты,organization
61,ооо,organization
62,новинки,organization
63,новинка,organization
63,новинки,organization
64,автосервис,organization
64,ооо,organization
65,ооо,organization
65,росздравнадзора,organization
67,полуботинки,organization
67,"лебедка,таль",organization
67,ботинки,organization
69,«смц,organization
69,ооо,organization
70,мчс,organization
73,ооо,organization
74,фсин,organization
74,бмтивс,organization
74,уфсин,organization
75,фсин,organization
75,бмтивс,organization
75,уфсин,organization
76,минтруда,organization
76,яндекс,organization
76,росздравнадзора,organization
77,ржд,organization
77,минздрава,organization
77,мвд,organization
77,онлайн–сервисы,organization
77,госавтоинспекции,organization
77,госавтоинспекция,organization
78,"""мвд",organization
78,мвд,organization
78,уфссп,organization
78,госавтоинспекции,organization
78,уфсин,organization
79,роспотребнадзором,organization
79,роспотребнадзора,organization
79,роспотребнадзор,organization
80,ооо,organization
81,"""мвд",organization
81,мвд,organization
81,уфссп,organization
81,госавтоинспекции,organization
81,уфсин,organization
84,скб,organization
84,фнс,organization
85,яндекс,organization
85,ооо,organization
87,госдумы,organization
87,хмао,organization
87,„газпром,organization
87,мчс,organization
87,янао,organization
87,«мчс,organization
87,госдуме,organization
87,гочс,organization
87,«газпром,organization
89,ооо,organization
91,яндекс,organization
91,новинки,organization
93,ооо,organization
93,таймвэб,organization
95,картинка,organization
95,резинка,organization
95,новинка,organization
95,пружинка,organization
96,фнс,organization
96,яндекса,organization
96,яндекс,organization
96,ооо,organization
96,яндексу,organization
96,гаи,organization
96,роспотребнадзора,organization
96,мчс,organization
96,"""без",organization
96,яндексом,organization
96,«без,organization
97,ростехинфо,organization
97,скб,organization
97,фнс,organization
98,стоматологии,organization
98,стоматология,organization
100,роспотребнадзоре,organization
101,новинки,organization
104,свч,organization
105,свч,organization
105,ооо,organization
105,гознак,organization
105,москва-хельсинки,organization
105,спб-хельсинки,organization
107,автозапчасти,organization
107,вокзалы/аэропорты,organization
107,стоматология,organization
107,ооо,organization
108,новинки,organization
109,новинка,organization
109,новинки,organization
110,ювао,organization
110,юзао,organization
110,ран,organization
110,цао,organization
110,сзао,organization
110,свао,organization
111,автосервис,organization
111,ооо,organization
112,ооо,organization
112,росздравнадзора,organization
115,мчс,organization
117,ооо,organization
119,скб,organization
120,яндекс,organization
120,ооо,organization
122,ооо,organization
123,яндекс,organization
124,мвд,organization
124,госавтоинспекции,organization
125,ооо,organization
125,нпп,organization
126,ооо,organization
127,хмао,organization
128,ооо,organization
129,ооо,organization
130,новинка,organization
131,(яндекс,organization
131,ооо,organization
131,гугл,organization
136,яндекс,organization
136,ооо,organization
137,ооо,organization
140,фгбу,organization
140,газпром,organization
140,ооо,organization
140,нефтетранссервис,organization
140,мчс,organization
140,лстк,organization
141,газпромбанке,organization
141,ооо,organization
143,ооо,organization
145,минтранса,organization
145,ооо,organization
145,автосервиса,organization
145,росгосстрах,organization
146,ооо,organization
147,эхрв,organization
150,ооо,organization
152,ооо,organization
152,росэнергоатом,organization
153,ооо,organization
154,зарубежнефть,organization
154,технопром,organization
154,фнс,organization
160,мчс,organization
160,ооо,organization
162,новинки,organization
162,ооо,organization
163,электромонтаж,organization
163,ооо,organization
164,яндекс,organization
167,ломоносовъ,organization
167,геоцентр,organization
167,новинки,organization
167,махаон,organization
167,пелси,organization
167,снежинка,organization
167,ленфильм,organization
167,караоке,organization
167,градъ,organization
167,аверсэв,organization
169,караоке,organization
169,конференцсвязь,organization
170,ооо,organization
170,хмао,organization
171,ооо,organization
172,ооо,organization
173,новинка,organization
173,новинки,organization
174,(без,organization
174,ооо,organization
176,(без,organization
176,ооо,organization
176,ифнс,organization
178,яндекс,organization
178,ооо,organization
179,новинки,organization
180,аноо,organization
