index,word,type
1,"каппучиино

гладкий кирпич каппучиино",name
2,фемостон,name
4,автоакустика автоакустика,name
4,алкотестер кабель силовой домкраты,name
4,тренажёры электормобили,name
4,ставрополь таганрог,name
4,аудио - аудио,name
4,алкотестер кабель силовой,name
5,амерханова лейла сосламбековна,name
5,тангиев ахмед рашидович,name
5,эсет боковой,name
5,доверия школьного психолога,name
5,"ооо
фгос",name
6,коли томчака,name
6,мори мтв,name
6,светлана дьяченко,name
6,ярослав турчинский,name
6,файлов,name
6,комод мори,name
7,юрий александрович,name
7,юрий директор + (),name
7,юлия крамских,name
9,рюкзак боровик,name
9,болты болт,name
9,ремни баллоны,name
9,пвх  асс-,name
9,шрифт цифровой,name
9,дереву,name
9,микрометр гладкий,name
10,адыгея © - ооо,name
11,джейсон стэйтем,name
11,джейсон,name
13,уфсин адыгеи,name
13,республике адыгея,name
13,адыгея отдел,name
13,хасан бзегежев,name
13,архиепископа тихона,name
13,дионисия жильцова,name
13,алексей лыков,name
13,артура григорьяна,name
13,адыгея проведен,name
13,адыгея график,name
13,уфсин фку,name
13,"адыгея
уфсин",name
13,"уфсин
фку",name
13,"адыгея
онк республики адыгея",name
14,уфсин адыгеи,name
14,республике адыгея,name
14,адыгея отдел,name
14,хасан бзегежев,name
14,архиепископа тихона,name
14,дионисия жильцова,name
14,алексей лыков,name
14,артура григорьяна,name
14,адыгея проведен,name
14,адыгея график,name
14,уфсин фку,name
14,"адыгея
уфсин",name
14,"уфсин
фку",name
14,"адыгея
онк республики адыгея",name
15,мсэ материнский,name
15,республике адыгея (адыгея),name
15,адыгея уполномоченный,name
15,"адыгея

",name
15,адыгея перейти,name
16,цсн бдд,name
16,павел кондратьев,name
16,сергей гришкин,name
16,денис загарин,name
16,владимир путин,name
16,михаил черников,name
16,аллее рахова,name
16,"адыгея

(",name
16,адыгее,name
17,владимир колокольцев,name
17,николом пашиняном,name
17,ирина волк,name
17,владимир нарожный,name
17,олег безсмельницын,name
17,мурата кумпилова,name
17,руслан пшидаток,name
17,адыгея уфссп,name
17,адыгея уфсин,name
17,адыгея росгвардия,name
17,"адыгея
",name
17,"госуслуги
мвд",name
17,"госуслуги
мвд россии
мвд россии
гуобдд",name
