index,word,type
0,ассоциация,position2
1,кирпич,position2
3,операторы,position3
3,специалисты,position3
4,аксессуары,position2
4,пылесосы,position2
4,корзина,position1
4,акустика,position2
4,медиапроигрыватели,position2
5,ассоциация,position2
5,заместитель,position2
7,филиал,position2
7,ооо,position2
7,команда,position2
9,микрометр,position2
9,разработка,position2
9,микрометры,position2
9,компания,position2
11,изменения,position1
11,видео,position1
13,онк,position2
13,президент,position2
13,майор,position2
13,министерство,position2
13,обеспечение,position2
13,студент,position2
13,председатель,position2
14,онк,position2
14,президент,position2
14,майор,position2
14,министерство,position2
14,обеспечение,position2
14,студент,position2
14,председатель,position2
15,президент,position2
15,министерство,position2
15,фку,position2
15,учреждение,position2
15,организация,position2
15,бюро,position2
15,майкоп,position2
15,республика,position2
16,выпуск,position2
16,президент,position2
16,миц,position2
16,минтранс,position3
16,гуобдд,position2
16,полицейские,position2
16,руководитель,position2
16,радио,position2
16,подполковник,position2
17,генерал,position2
17,комментарии,position2
17,представитель,position2
17,министр,position2
17,майор,position2
17,проекты,position2
17,сми,position2
17,речь,position2
17,полковник,position2
17,мультимедиа,position2
17,суд,position2
19,генерал,position2
19,комментарии,position2
19,представитель,position2
19,министр,position2
19,майор,position2
19,проекты,position2
19,сми,position2
19,речь,position2
19,полковник,position2
19,опросы,position2
19,суд,position2
21,ооо,position2
22,регистрация,position1
22,отзывы,position1
22,заведение,position3
22,реклама,position1
22,каталог,position1
22,ресторан,position2
22,ресторан,position1
22,рестораны,position2
22,рецепты,position1
22,афиша,position2
22,рестораны,position1
22,кейтеринг,position1
22,залы,position1
23,мастера,position3
27,структура,position1
27,приказ,position1
27,министр,position2
29,компания,position2
