index,word,type
5,https://vk.com/nrarussia+74953803067,url
13,храмаик-2уфсинроссиипореспубликеадыгея.https://rutube.ru/video/fb6af92c0d5d7c76eeee3fd8f29a7a22/29.09.2023,url
14,храмаик-2уфсинроссиипореспубликеадыгея.https://rutube.ru/video/fb6af92c0d5d7c76eeee3fd8f29a7a22/29.09.2023,url
52,https://vk.com/nrarussia+74953803067,url
88,https://www.murzilkintravel.ru/2023/09/hristoforich.html,url
90,"thecachefromyourbrowsersettings1.type”opera://settings/clearbrowserdata""intheaddressbar",url
198,http(web),url
219,д.4.п.1http://ds26.kaluga.ru/?section_id=20,url
219,.https://bus.gov.ru/qrcode/rate/334274,url
258,http://0302.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
287,httperror403nullreloadyoudon'thaveauthorizationtoviewthispage,url
287,httperror403nullhttperror403nullhttperror403nullhttperror403nullhttperror403nullnullreloadreloadreloadyoudon'thaveauthorizationtoviewthispage.youdon'thaveauthorizationtoviewthispage,url
291,httperror403null03-bux.ru03-bux.ruaccessto03-bux.ruwasdeniedyoudon'thaveauthorizationtoviewthispage,url
291,httperror403nullaccessto03-bux.ruwasdeniedyoudon'thaveauthorizationtoviewthispage.httperror403nullaccessto03-bux.ruwasdeniedyoudon'thaveauthorizationtoviewthispage,url
291,httperror403nullaccessto03-bux.ruwasdeniedaccessto03-bux.ruwasdenied03-bux.ruyoudon'thaveauthorizationtoviewthispage,url
291,httperror403nullhttperror403nullhttperror403nullhttperror403nullhttperror403null,url
320,http://v8.1c.ru/price/,url
336,thewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,thewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,toanewwebaddress.gimn-intellekt-essentuki-r07.gosweb.gosuslugi.rugimn-intellekt-essentuki-r07.gosweb.gosuslugi.ruthissitecan’tbereachedthewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,thewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,toanewwebaddress.thissitecan’tbereachedthewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,thissitecan’tbereachedthewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,thissitecan’tbereachedthewebpageathttps://gimn-intellekt-essentuki-r07.gosweb.gosuslugi.ru/mightbe,url
336,thissitecan’tbereachedthewebpageathttps://gimn-intellekt-essentuki-r07.gos,url
339,https://you,url
346,http://intellectinvest.ru/articles/…,url
346,"http://intellectinvest.ru/subscribe/©1998-2023гк""интеллектинве",url
410,ftp,url
410,ftp,url
411,сайтаhttps://05423.овнд.рф/,url
411,https://05423.овнд.рф/,url
414,https://www.ihor.ru/vds/deshevy,url
427,http://0616.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
428,https://r42.fssp.gov.ru/,url
428,https://www.gosuslugi.ru/.,url
428,http://0651.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
429,http://0656.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
502,http://0202.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
506,http://0206.kmr.msudrf.ru/modules.php?name=info_pages&rid=1022#content,url
523,https://05.ru/about/rassrochka/,url
533,сайтаhttps://06051.овнд.рф/,url
533,https://06051.овнд.рф/,url
539,https://r42.fssp.gov.ru/,url
539,https://www.gosuslugi.ru/.,url
600,ftp.intelmedia-group.ruинтелмед,url
626,https://r42.fssp.gov.ru/,url
626,https://www.gosuslugi.ru/.,url
627,https://r42.fssp.gov.ru/,url
627,https://www.gosuslugi.ru/,url
