index,url,address,name,organization,position,ssylka
0,http://0009.ru,,-,-,-,-
1,http://001k.ru,,"каппучиино

гладкий кирпич каппучиино",-,"('кирпич', 'position')",-
2,http://003ms.ru," : москвы, город: москва,  : москва, город: москва,  : москва,  : москвы,  : москвы, город: москва,  : москва, город: москва,  : москва, город: москва,  : москва, город: москва,  : москва, город: москва,  : москва, город: москва,  : москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва,  : москва,  : москва,  : москва,  : москва,  : москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва, город: москва,  : москва,  : москва,  : москва,  : москва,  : москва",-,-,-,-
3,http://003rt.ru," : москве, страна: рф,  : москве, страна: рф,  : москве, страна: рф,  : москве,  : москве,  : москве, страна: рф, страна: рф, страна: рф, страна: рф",-,"гуп, таттехмедфарм","('специалисты', 'position'), ('операторы', 'position')",-
4,http://004.ru," : краснодар, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293,  : краснодару, страна: россии, страна: россии, страна: рф,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : краснодар, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293,  : краснодару, страна: россии, страна: россии, страна: рф,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : краснодар, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293,  : краснодару, страна: россии, страна: россии, страна: рф,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 103568, индекс: 101962, индекс: 111381, индекс: 112278, индекс: 112945, индекс: 103568, индекс: 103568, индекс: 103568, индекс: 103568, индекс: 103568, индекс: 101962, индекс: 101962, индекс: 101962, индекс: 101962, индекс: 101962, индекс: 111381, индекс: 111381, индекс: 111381, индекс: 111381, индекс: 111381, индекс: 112278, индекс: 112278, индекс: 112278, индекс: 112278, индекс: 112278, индекс: 112945, индекс: 112945, индекс: 112945, индекс: 112945, индекс: 112945, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 104390, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 104390, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112725, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293, индекс: 112293,  : краснодару, страна: россии, страна: россии,  : краснодару, страна: россии, страна: россии,  : краснодару, страна: россии, страна: россии,  : краснодару, страна: россии, страна: россии, страна: рф, страна: рф, страна: рф, страна: рф, страна: рф, страна: рф,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : волгоград,  : краснодар,  : майкоп,  : новороссийск,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : пятигорск,  : ростов-на-дону,  : самара,  : саратов,  : севастополь,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : симферополь,  : сочи,  : ставрополь,  : таганрог,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар,  : краснодар","автоакустика автоакустика, алкотестер кабель силовой домкраты, тренажёры электормобили, ставрополь таганрог, алкотестер кабель силовой",свч,"('автоаксессуары', 'position')",-
5,http://004sosh.siteedu.ru,-,"амерханова лейла сосламбековна, тангиев ахмед рашидович, эсет боковой, ооо
фгос","минсельхоз, вс, ооо","('комиссия', 'position'), ('сайт', 'position'), ('ассоциация', 'position'), ('заместитель', 'position')",https://vk.com/nrarussia+74953803067
6,http://005mebel.ru,-,"хит комод мори, мори мтв, светлана дьяченко, ярослав турчинский, мори мк","яндексе, мк","('отзыв', 'position'), ('стеллажи', 'position')",-
7,http://009.рф/about,-,"юрий александрович, юлия крамских","альфа-банк, ао, ооо","('менеджер', 'position'), ('филиал', 'position'), ('ооо', 'position'), ('директор', 'position')",-
9,http://01-36.ru,-,"болты болт, шрифт цифровой, хв, микрометр гладкий","лебедка,таль, полуботинки, ботинки","('микрометр', 'position'), ('компания', 'position'), ('разработка', 'position'), ('новости', 'position'), ('термобелье', 'position'), ('микрометры', 'position')",-
10,http://01-klinika-21.ru,-,-,"«смц, ооо",-,-
11,http://01-region.ru,-,"абитуриентам автошкола, джейсон стэйтем, джейсон",-,"('видео', 'position'), ('изменения', 'position')",-
12,http://01-serv.ru,-,-,ооо,-,-
13,http://01.fsin.gov.ru,-,"хасан бзегежев, уфсин адыгеи, архиепископа тихона, дионисия жильцова, алексей лыков, артура григорьяна, адыгея проведен, адыгея график, уфсин фку, адыгея
уфсин, адыгея

rt vk ok rss print pda, уфсин
фку, адыгея
онк республики адыгея","бмтивс, вс, уфсин, мчс, фсин, мвд","('онк', 'position'), ('майор', 'position'), ('президент', 'position'), ('министерство', 'position'), ('обеспечение', 'position'), ('председатель', 'position'), ('студент', 'position')",храмаик-2уфсинроссиипореспубликеадыгея.https://rutube.ru/video/fb6af92c0d5d7c76eeee3fd8f29a7a22/29.09.2023
14,http://01.fsin.su,-,"хасан бзегежев, уфсин адыгеи, архиепископа тихона, дионисия жильцова, алексей лыков, артура григорьяна, адыгея проведен, адыгея график, уфсин фку, адыгея
уфсин, адыгея

rt vk ok rss print pda, уфсин
фку, адыгея
онк республики адыгея","бмтивс, вс, уфсин, мчс, фсин, мвд","('онк', 'position'), ('майор', 'position'), ('президент', 'position'), ('министерство', 'position'), ('обеспечение', 'position'), ('председатель', 'position'), ('студент', 'position')",храмаик-2уфсинроссиипореспубликеадыгея.https://rutube.ru/video/fb6af92c0d5d7c76eeee3fd8f29a7a22/29.09.2023
15,http://01.gbmse.ru,-,"мсэ материнский, адыгея

, адыгея перейти","минтруда, минтруд, росздравнадзора","('президент', 'position'), ('министерство', 'position'), ('орган', 'position'), ('гб', 'position'), ('республика', 'position'), ('фонд', 'position'), ('учреждение', 'position')",-
16,http://01.gibdd.ru,-,"цсн бдд, павел кондратьев, сергей гришкин, денис загарин, владимир путин, михаил черников, адыгея

","госавтоинспекции, госавтоинспекция, минтранс, онлайн–сервисы, мвд","('президент', 'position'), ('гуобдд', 'position'), ('группа', 'position'), ('рубрикатор', 'position'), ('движение', 'position'), ('руководитель', 'position'), ('подполковник', 'position'), ('канал', 'position'), ('выпуск', 'position')",-
17,http://01.mvd.ru,-,"владимир колокольцев, николом пашиняном, ирина волк, владимир нарожный, олег безсмельницын, мурата кумпилова, руслан пшидаток, адыгея су ск, адыгея уфссп, адыгея уфсин, адыгея росгвардия, адыгея
, госуслуги
мвд, госуслуги
мвд россии
мвд россии
гуобдд, адыгея
су ск, адыгея
уфссп, адыгея
уфсин, адыгея
мсч","госавтоинспекции, уфссп, ск, внии, госсовета-хасэ, интерпола, уфсин, мвд","('министр', 'position'), ('майор', 'position'), ('мультимедиа', 'position'), ('речь', 'position'), ('суд', 'position'), ('комментарии', 'position'), ('прокуратура', 'position'), ('контакты', 'position'), ('проекты', 'position'), ('полковник', 'position'), ('представитель', 'position'), ('генерал', 'position')",-
18,http://01.rospotrebnadzor.ru,-,"адыгея

","роспотребнадзора, роспотребнадзором",-,-
19,http://01.мвд.рф,-,"владимир колокольцев, николом пашиняном, ирина волк, владимир нарожный, олег безсмельницын, мурата кумпилова, руслан пшидаток, адыгея су ск, адыгея уфссп, адыгея уфсин, адыгея росгвардия, адыгея
, госуслуги
мвд, госуслуги
мвд россии
мвд россии
гуобдд, адыгея
су ск, адыгея
уфссп, адыгея
уфсин, адыгея
мсч","госавтоинспекции, уфссп, ск, внии, госсовета-хасэ, интерпола, уфсин, мвд","('министр', 'position'), ('майор', 'position'), ('мультимедиа', 'position'), ('речь', 'position'), ('опросы', 'position'), ('суд', 'position'), ('комментарии', 'position'), ('прокуратура', 'position'), ('контакты', 'position'), ('проекты', 'position'), ('полковник', 'position'), ('представитель', 'position'), ('генерал', 'position')",-
21,http://01bit.ru,-,-,ооо,"('ооо', 'position')",-
22,http://01cafe.restoran.ru,-,"ресторан 01кафе, бар 0.0, александра, александр, афиша

отзывы","караоке-бар, ооо, караоке","('реклама', 'position'), ('бар', 'position'), ('ресторан', 'position'), ('кухня', 'position'), ('оценка', 'position'), ('рестораны', 'position'), ('заведение', 'position'), ('афиша', 'position')",-
23,http://01group-kem.ru,-,-,"яндекс, ооо","('мастера', 'position')",-
24,http://01outdoor.ru,-,-,апр,-,-
25,http://01pmsspb.ru,-,-,"пожмонтажсервис, ооо",-,-
27,http://01reg.roszdravnadzor.ru,-,"в.и, скворцова, адыгея 07.08.2023, адыгея


07.08.2023 росздравнадзор","росздравнадзор, ортопоксвак, росздравнадзора, минюсте","('структура', 'position'), ('министр', 'position')",-
28,http://01region01.ru,-,цену уточняйте,ооо,-,-
29,http://01rf.ru,-,-,ооо,"('компания', 'position')",-
30,http://01rus.ru,-,-,ооо,"('отдел', 'position'), ('компания', 'position'), ('разработка', 'position'), ('сеть', 'position')",-
31,http://01servis.ru,-,"энергомаш ао, лавочкина


нпо им. с., лавочкина
ао, нпо энергомаш
ао мкб искра


ао мкб","мкб, нпо, ао, энергомаш, мчс, яндекс","('клиенты', 'position'), ('факел', 'position'), ('лавочкина', 'position')",-
32,http://01sfera.ru,-,-,ооо,"('студия', 'position')",-
33,http://01sovet.ru,-,-,ввс,"('совет', 'position')",-
34,http://01travel.ru,-,"надежда малова, александр малов, юрий",изюминка,"('надежда', 'position'), ('тур', 'position'), ('снаряжения', 'position')",-
35,http://0-1.ru,-,"кристина копкова, анастасия кострова, жеральд дарманен, александр куренков, доверяй, ермаганбет булекпаев, иван енин, валерия васильева, денис жуковский","еврокомиссии, ес, вс, сф, мчс, мвд","('житель', 'position'), ('заместитель', 'position'), ('издание', 'position'), ('руководитель', 'position'), ('глава', 'position')",-
36,http://0-16.рф,-,арина стинга,вс,-,https://www.murzilkintravel.ru/2023/09/hristoforich.html
38,http://0-cenka.ru,-,"алексей руководитель, анна, валерий оценщик, медведева, екатерина, газетова, алексей, рослякова, ольга, татьяна, валерий
оценщик, виктория",ооо,"('команда', 'position'), ('оценка', 'position'), ('плотников', 'position')",-
39,http://0-plus.ru,-,-,линковка,-,"thecachefromyourbrowsersettings1.type”opera://settings/clearbrowserdataintheaddressbar,"
40,http://00-23.ru,-,кромка черная,"новинки, яндекс","('дверь', 'position'), ('доставка', 'position'), ('каталог', 'position')",-
41,http://0009.ru,-,"аудио
аудио",-,-,-
42,http://0012.ru,-,домен припаркован,-,"('аренда', 'position')",-
43,http://001k.ru,-,"кирпич гиперпрессованный, кирпича",ооо,"('выпуск', 'position'), ('ооо', 'position')",-
45,http://001ru.ru,-,"инь ян (m-276), брелок металлический (ky-56), ян металлическая, кулон парная (f-90), кулон парная (j-48)","вр, новинка","('брелок', 'position'), ('браслет', 'position'), ('доставка', 'position')",-
46,http://001spb.edusite.ru,-,"сергей рахманинов, алексей - 2, александр - 3, неопалимая купина, танцова, ахмедова лейла - 2, петренко, ая ая межсимвольный, ая ая
шрифт","гаи, ес, «без, ооо, яндекса, роспотребнадзора, ао, яндексу, яндекс, яндексом, мчс, фнс","('урок', 'position'), ('шрифт', 'position'), ('победители', 'position')",-
47,http://0027.kontur-partner.ru,-,скб контур,"ростехинфо, скб, фнс",-,-
48,http://003-stom.ru,-,дыбенко,"стоматологии, стоматология","('улица', 'position'), ('студия', 'position')",-
50,http://003rt.ru,-,-,"гуп, таттехмедфарм","('специалисты', 'position'), ('операторы', 'position')",-
51,http://004.ru,-,"автоакустика автоакустика, ставрополь таганрог","свч, яндекс",-,-
52,http://004sosh.siteedu.ru,-,"амерханова лейла сосламбековна, тангиев ахмед рашидович, эсет боковой","минсельхоз, вс","('комиссия', 'position'), ('сайт', 'position'), ('ассоциация', 'position'), ('заместитель', 'position')",https://vk.com/nrarussia+74953803067
53,http://0055.ru,-,бабушкин,-,-,-
54,http://005mebel.ru,-,"ольга кравченко, мори мш, светлана дьяченко, ярослав турчинский",яндексе,"('битрикс', 'position'), ('отзыв', 'position'), ('магазин', 'position'), ('линия', 'position')",-
55,http://007.help,-,"александр иванов, александр больше, александр жуматий, александр несправедливости, александр, юлия, гатчина",роспотребнадзоре,"('компания', 'position'), ('канал', 'position'), ('консультация', 'position'), ('юрист', 'position')",-
56,http://007.ru,-,д.менделеева,новинки,"('трц', 'position')",-
57,http://0070.ru,-,-,-,"('дом', 'position')",-
58,http://007copy.ru,-,-,-,"('копицентры', 'position'), ('копицентр', 'position')",-
59,http://007tur.ru,-,"норвегия перу, бельгия болгария, норвегия польша словения, ирина о, светлана батищева, людмила воршакова, мария, лев толстой, швеция эстония юар","ооо, спб-хельсинки, гознак, москва-хельсинки, свч","('сервис', 'position'), ('чехия', 'position'), ('апрель', 'position'), ('спектр', 'position'), ('дом', 'position'), ('название', 'position'), ('принцесса', 'position')",-
61,http://008.ru,-,"тарантова, ольга николаевна, гасанова","автозапчасти, вокзалы/аэропорты, ооо, новинка","('миламед', 'position'), ('служба', 'position'), ('связь', 'position'), ('нотариус', 'position'), ('центр', 'position')",-
62,http://008ru.ru,-,"дзи бусина, дзи подвеска-брелок, бусина дзи, дзи
бусина, дзи
подвеска-брелок, дзи

бусина",новинки,"('регистрация', 'position'), ('навигация', 'position'), ('сувениры', 'position'), ('новости', 'position'), ('категории', 'position')",-
63,http://009.ru,-,-,"новинки, новинка","('приклада', 'position')",-
64,http://00944.umax.ru,-,"стрункин, александр владимирович, автосервис
ставропольский край","автосервис, ооо","('оформление', 'position'), ('форма', 'position'), ('директор', 'position')",-
65,http://00rf.ru,-,-,"росздравнадзора, ооо","('технология', 'position'), ('компания', 'position'), ('доставка', 'position'), ('аппарат', 'position')",-
67,http://01-36.ru,-,"болты болт, шрифт цифровой, хв, микрометр гладкий","лебедка,таль, полуботинки, ботинки","('микрометр', 'position'), ('ткани', 'position'), ('компания', 'position'), ('разработка', 'position'), ('новости', 'position'), ('термобелье', 'position'), ('микрометры', 'position')",-
69,http://01-klinika-21.ru,-,-,"«смц, ооо",-,-
70,http://01-kras.ru,-,найдём компромисс,мчс,"('огнетушитель', 'position')",-
71,http://01-msk.ru,-,-,-,"('оао', 'position')",-
72,http://01-region.ru,-,"абитуриентам автошкола, джейсон стэйтем, джейсон",-,"('видео', 'position'), ('изменения', 'position')",-
73,http://01-serv.ru,-,-,ооо,-,-
